BASE_K,MIN_SIGMA,LINEAR_WINDOW,MAX_AGGRESSION,INVENTORY_SKEW,days,total_pnl,mean_daily_pnl,simple_sharpe_mean,max_drawdown,submitted_buy_orders,submitted_sell_orders,submitted_orders,realized_buy_fills,realized_sell_fills,realized_fills,signal_buy_ticks,signal_sell_ticks,signal_neutral_ticks,final_position_sum,max_abs_position,avg_abs_position,fill_rate,score,stage,combo_index,elapsed_seconds
2.0,0.5,10,1,0.4,"-2,-1,0",53340.0,17780.0,0.05568653721247333,270.0,1621,1,1622,12,0,12,27649,83,2268,60,20,17.680666666666664,0.007398273736128237,53232.5,stage2_targeted,29,4.8083747000000585
2.0,0.5,10,1,0.6,"-2,-1,0",53340.0,17780.0,0.05568653721247333,270.0,1644,0,1644,12,0,12,27678,82,2240,60,20,17.680666666666664,0.0072992700729927005,53232.5,stage2_targeted,30,5.06084969999938
2.0,0.75,10,1,0.4,"-2,-1,0",53340.0,17780.0,0.05568653721247333,270.0,1524,1,1525,12,0,12,27552,76,2372,60,20,17.680666666666664,0.007868852459016393,53232.5,stage2_targeted,49,4.498165099999824
2.0,0.75,10,1,0.6,"-2,-1,0",53340.0,17780.0,0.05568653721247333,270.0,1547,0,1547,12,0,12,27581,75,2344,60,20,17.680666666666664,0.007756948933419522,53232.5,stage2_targeted,50,4.936578099999679
2.0,0.25,10,0,0.4,"-2,-1,0",53315.0,17771.666666666668,0.055736683510202646,270.0,1712,1,1713,12,0,12,27674,84,2242,60,20,17.6535,0.0070052539404553416,53207.5,stage2_targeted,4,4.8819104000012885
2.0,0.25,10,0,0.6,"-2,-1,0",53315.0,17771.666666666668,0.055736683510202646,270.0,1736,0,1736,12,0,12,27704,83,2213,60,20,17.6535,0.0069124423963133645,53207.5,stage2_targeted,5,4.974924000000101
2.0,0.5,10,0,0.6,"-2,-1,0",53315.0,17771.666666666668,0.055736683510202646,270.0,1710,0,1710,12,0,12,27678,82,2240,60,20,17.6535,0.007017543859649123,53207.5,stage2_targeted,25,4.959962499999165
2.0,0.5,10,0,0.4,"-2,-1,0",53315.0,17771.666666666668,0.055736683510202646,270.0,1686,1,1687,12,0,12,27648,83,2269,60,20,17.6535,0.007113218731475993,53207.5,stage2_targeted,24,5.812407400000666
2.0,0.75,10,0,0.4,"-2,-1,0",53315.0,17771.666666666668,0.055736683510202646,270.0,1589,1,1590,12,0,12,27551,76,2373,60,20,17.6535,0.007547169811320755,53207.5,stage2_targeted,44,4.926718400000027
2.0,0.75,10,0,0.6,"-2,-1,0",53315.0,17771.666666666668,0.055736683510202646,270.0,1613,0,1613,12,0,12,27581,75,2344,60,20,17.6535,0.007439553626782393,53207.5,stage2_targeted,45,5.0392658000000665
2.0,0.25,10,1,0.25,"-2,-1,0",53130.0,17710.0,0.05556845614283972,270.0,1694,10,1704,12,0,12,27555,93,2352,60,20,17.610833333333332,0.007042253521126761,53022.5,stage2_targeted,8,4.988241099999868
2.0,0.5,10,1,0.25,"-2,-1,0",53130.0,17710.0,0.05556845614283972,270.0,1668,10,1678,12,0,12,27529,92,2379,60,20,17.610833333333332,0.007151370679380214,53022.5,stage2_targeted,28,4.787109299999429
2.0,0.75,10,1,0.25,"-2,-1,0",53130.0,17710.0,0.05556845614283972,270.0,1567,10,1577,12,0,12,27428,85,2487,60,20,17.610833333333332,0.007609384908053266,53022.5,stage2_targeted,48,5.251062500001353
2.0,0.25,10,0,0.25,"-2,-1,0",53105.0,17701.666666666668,0.055618797939738306,270.0,1755,10,1765,12,0,12,27550,93,2357,60,20,17.58366666666667,0.006798866855524079,52997.5,stage2_targeted,3,6.897451400000136
2.0,0.5,10,0,0.25,"-2,-1,0",53105.0,17701.666666666668,0.055618797939738306,270.0,1729,10,1739,12,0,12,27524,92,2384,60,20,17.58366666666667,0.006900517538815411,52997.5,stage2_targeted,23,5.393738200000371
2.0,0.75,10,0,0.25,"-2,-1,0",53105.0,17701.666666666668,0.055618797939738306,270.0,1627,10,1637,12,0,12,27422,85,2493,60,20,17.58366666666667,0.007330482590103849,52997.5,stage2_targeted,43,5.209864099999322
2.0,1.25,40,0,0.25,"-2,-1,0",52855.0,17618.333333333332,0.055409534025315,270.0,1424,82,1506,13,1,14,26459,174,3367,60,20,17.468,0.009296148738379814,52747.5,stage2_targeted,63,5.860026299998935
2.0,1.25,40,0,0.4,"-2,-1,0",52820.0,17606.666666666668,0.055370171067129915,270.0,1389,7,1396,12,0,12,26963,99,2938,60,20,17.479833333333332,0.008595988538681949,52712.5,stage2_targeted,64,6.100478199999998
2.0,1.25,40,0,0.6,"-2,-1,0",52820.0,17606.666666666668,0.055370171067129915,270.0,1410,1,1411,12,0,12,27066,93,2841,60,20,17.479833333333332,0.008504606661941885,52712.5,stage2_targeted,65,6.604779699999199
2.0,1.25,40,1,0.25,"-2,-1,0",52785.0,17595.0,0.05534035964690457,270.0,1424,82,1506,13,1,14,26459,174,3367,60,20,17.468,0.009296148738379814,52677.5,stage2_targeted,68,6.50117020000107
2.0,1.25,40,1,0.4,"-2,-1,0",52760.0,17586.666666666668,0.05530982228009366,270.0,1389,7,1396,12,0,12,26963,99,2938,60,20,17.479833333333332,0.008595988538681949,52652.5,stage2_targeted,69,5.869858599999134
2.0,1.25,40,1,0.6,"-2,-1,0",52760.0,17586.666666666668,0.05530982228009366,270.0,1410,1,1411,12,0,12,27066,93,2841,60,20,17.479833333333332,0.008504606661941885,52652.5,stage2_targeted,70,6.060313199999655
2.0,1.0,10,0,0.4,"-2,-1,0",52475.0,17491.666666666668,0.05528676629760925,270.0,1692,1,1693,12,0,12,27056,73,2871,60,20,17.368,0.0070880094506792675,52367.5,stage2_targeted,84,4.617132600000332
2.0,1.0,10,0,0.6,"-2,-1,0",52475.0,17491.666666666668,0.05528676629760925,270.0,1702,0,1702,12,0,12,27072,72,2856,60,20,17.368,0.007050528789659225,52367.5,stage2_targeted,85,4.592619500001092
2.0,1.0,10,1,0.4,"-2,-1,0",52415.0,17471.666666666668,0.05522723305950942,270.0,1692,1,1693,12,0,12,27056,73,2871,60,20,17.368,0.0070880094506792675,52307.5,stage2_targeted,89,4.6818185000011
2.0,1.0,10,1,0.6,"-2,-1,0",52415.0,17471.666666666668,0.05522723305950942,270.0,1702,0,1702,12,0,12,27072,72,2856,60,20,17.368,0.007050528789659225,52307.5,stage2_targeted,90,4.38376210000024
2.0,0.25,10,2,0.1,"-2,-1,0",52190.0,17396.666666666668,0.05941376456418864,260.0,5410,254,5664,120,108,228,25082,439,4479,60,20,16.043166666666668,0.04025423728813559,52085.0,stage2_targeted,12,5.434000400000514
2.0,1.0,10,0,0.25,"-2,-1,0",51850.0,17283.333333333332,0.054961862448813466,270.0,2025,6,2031,12,0,12,26909,78,3013,60,20,17.159833333333335,0.005908419497784343,51742.5,stage2_targeted,83,5.471870600000329
2.0,1.0,10,1,0.25,"-2,-1,0",51850.0,17283.333333333332,0.054904871082280426,270.0,1915,6,1921,12,0,12,26910,78,3012,60,20,17.17833333333333,0.006246746486205101,51742.5,stage2_targeted,88,5.52013739999893
2.0,1.0,10,2,0.1,"-2,-1,0",51645.0,17215.0,0.05817973024658598,230.0,4120,232,4352,104,92,196,24146,387,5467,60,20,16.06533333333333,0.04503676470588235,51547.5,stage2_targeted,92,4.2916638999995484
2.0,0.5,10,2,0.1,"-2,-1,0",51645.0,17215.0,0.05970911142927902,260.0,6099,298,6397,142,130,272,24721,489,4790,60,20,15.640999999999998,0.04251993121775832,51540.0,stage2_targeted,32,5.035418699999354
2.0,0.75,10,2,0.1,"-2,-1,0",51560.0,17186.666666666668,0.058964757490338,260.0,5111,252,5363,119,107,226,24496,405,5099,60,20,15.845999999999998,0.042140592951706135,51455.0,stage2_targeted,52,4.960790999999517
2.0,1.25,40,3,0.1,"-2,-1,0",50145.0,16715.0,0.06594945169741988,220.0,8604,915,9519,332,321,653,20828,1382,7790,55,20,13.253166666666667,0.06859964281962391,50050.0,stage2_targeted,77,6.664254600000277
2.0,1.25,40,2,0.1,"-2,-1,0",43385.0,14461.666666666666,0.05905344118090152,230.0,7711,846,8557,218,210,428,19355,1576,9069,40,20,12.100500000000002,0.05001752950800514,43287.5,stage2_targeted,72,6.827022699999361
2.0,1.25,40,3,0.0,"-2,-1,0",32652.5,10884.166666666666,0.05978418831828755,210.0,4152,2243,6395,307,301,608,4969,3242,21789,30,20,7.843666666666667,0.09507427677873338,32560.0,stage2_targeted,76,5.910309099999722
2.0,0.75,10,3,0.0,"-2,-1,0",31592.5,10530.833333333334,0.05834490896883843,220.0,4706,3076,7782,366,362,728,5564,4707,19729,20,20,7.7145,0.09354921613980982,31497.5,stage2_targeted,56,4.757207800001197
2.0,1.0,10,3,0.0,"-2,-1,0",31300.0,10433.333333333334,0.057632206513637485,220.0,4239,2578,6817,341,338,679,4994,3789,21217,15,20,7.649,0.09960393134810033,31205.0,stage2_targeted,96,4.190690499999619
2.0,0.25,10,3,0.0,"-2,-1,0",30637.5,10212.5,0.057750097662700804,220.0,5436,3760,9196,386,384,770,6313,6080,17607,10,20,7.433833333333333,0.08373205741626795,30542.5,stage2_targeted,16,5.042406599999595
2.0,0.5,10,3,0.0,"-2,-1,0",30207.5,10069.166666666666,0.05760394224039064,220.0,5321,3646,8967,383,381,764,6140,5841,18019,10,20,7.3118333333333325,0.08520129363220698,30112.5,stage2_targeted,36,5.072722200000499
2.0,1.25,40,2,0.0,"-2,-1,0",28235.0,9411.666666666666,0.052319274975910414,210.0,4249,2062,6311,205,199,404,5085,3232,21683,30,20,7.460333333333334,0.06401521153541435,28142.5,stage2_targeted,71,6.3556695000006584
2.0,1.0,10,2,0.0,"-2,-1,0",26155.0,8718.333333333334,0.05055815832126435,230.0,4299,2381,6680,219,215,434,4971,3828,21201,20,20,6.9768333333333326,0.06497005988023952,26057.5,stage2_targeted,91,4.38640260000102
2.0,0.75,10,2,0.0,"-2,-1,0",25757.5,8585.833333333334,0.05069512751947339,230.0,4847,2791,7638,234,229,463,5572,4687,19741,25,20,6.828666666666667,0.06061796281749149,25660.0,stage2_targeted,51,4.778065599999536
2.0,0.25,10,2,0.0,"-2,-1,0",25240.0,8413.333333333334,0.05015587723566458,230.0,5501,3422,8923,248,244,492,6325,6051,17624,20,20,6.655333333333334,0.055138406365572115,25142.5,stage2_targeted,11,5.286484700000074
2.0,0.5,10,2,0.0,"-2,-1,0",25205.0,8401.666666666666,0.05007546040921057,230.0,5370,3315,8685,245,241,486,6154,5814,18032,20,20,6.6306666666666665,0.05595854922279793,25107.5,stage2_targeted,31,4.98097499999858
2.0,0.75,10,1,0.1,"-2,-1,0",22695.0,7565.0,0.04175466865855739,210.0,7422,306,7728,72,66,138,13917,2139,13944,30,20,6.532666666666667,0.017857142857142856,22602.5,stage2_targeted,47,5.559170599999561
2.0,0.75,10,0,0.1,"-2,-1,0",22387.5,7462.5,0.042256786056715456,210.0,8176,323,8499,69,64,133,13883,2145,13972,25,20,6.367333333333334,0.015648899870573007,22295.0,stage2_targeted,42,5.394900699999198
2.0,1.0,10,1,0.1,"-2,-1,0",20985.0,6995.0,0.03836787323896234,210.0,6067,202,6269,59,55,114,12618,1020,16362,20,20,6.122833333333333,0.018184718455894082,20892.5,stage2_targeted,87,5.190587200000664
2.0,0.25,10,1,0.1,"-2,-1,0",20850.0,6950.0,0.04121083792420173,210.0,8825,328,9153,86,80,166,13803,2864,13333,30,20,5.771833333333333,0.018136130230525512,20757.5,stage2_targeted,7,5.138468099999955
