BASE_K,MIN_SIGMA,LINEAR_WINDOW,MAX_AGGRESSION,INVENTORY_SKEW,days,total_pnl,mean_daily_pnl,simple_sharpe_mean,max_drawdown,submitted_buy_orders,submitted_sell_orders,submitted_orders,realized_buy_fills,realized_sell_fills,realized_fills,signal_buy_ticks,signal_sell_ticks,signal_neutral_ticks,final_position_sum,max_abs_position,avg_abs_position,fill_rate,score,stage,combo_index,elapsed_seconds
1.1,1.0,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4360,234,4594,34,22,56,23542,1012,5446,60,20,14.132833333333332,0.012189812799303439,43617.5,stage1_coarse,45,7.803420800000822
1.4,0.25,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4534,220,4754,34,22,56,23716,996,5288,60,20,14.132833333333332,0.011779554059739168,43617.5,stage1_coarse,55,7.358988100000715
1.4,0.5,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4520,220,4740,34,22,56,23702,989,5309,60,20,14.132833333333332,0.01181434599156118,43617.5,stage1_coarse,60,7.863235499999064
1.4,0.75,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4446,219,4665,34,22,56,23628,924,5448,60,20,14.132833333333332,0.012004287245444802,43617.5,stage1_coarse,65,8.003162599999996
1.4,1.0,60,1,0.25,"-2,-1,0",43725.0,14575.0,0.05115038262482041,270.0,4339,218,4557,34,22,56,23521,847,5632,60,20,14.132833333333332,0.01228878648233487,43617.5,stage1_coarse,70,8.757403499999782
0.8,0.25,60,1,0.25,"-2,-1,0",43695.0,14565.0,0.05111584946412926,270.0,4536,243,4779,34,22,56,23718,1437,4845,60,20,14.131833333333333,0.011717932621887424,43587.5,stage1_coarse,5,6.678888899999947
0.8,0.5,60,1,0.25,"-2,-1,0",43695.0,14565.0,0.05111584946412926,270.0,4522,243,4765,34,22,56,23704,1416,4880,60,20,14.131833333333333,0.011752360965372508,43587.5,stage1_coarse,10,7.641910799999096
0.8,0.75,60,1,0.25,"-2,-1,0",43695.0,14565.0,0.05111584946412926,270.0,4453,243,4696,34,22,56,23635,1302,5063,60,20,14.131833333333333,0.01192504258943782,43587.5,stage1_coarse,15,8.6010454999996
0.8,0.5,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,3988,179,4167,27,15,42,23616,1278,5106,60,20,14.205333333333334,0.010079193664506839,43537.5,stage1_coarse,9,6.074754299999768
0.8,0.25,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,4007,179,4186,27,15,42,23635,1306,5059,60,20,14.205333333333334,0.010033444816053512,43537.5,stage1_coarse,4,7.266547700000956
0.8,0.75,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,3938,179,4117,27,15,42,23566,1129,5305,60,20,14.205333333333334,0.010201603109059995,43537.5,stage1_coarse,14,6.44063240000105
1.1,0.25,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,4005,179,4184,27,15,42,23633,1032,5335,60,20,14.205333333333334,0.010038240917782026,43537.5,stage1_coarse,29,6.505270699999528
1.1,0.5,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,3987,179,4166,27,15,42,23615,1025,5360,60,20,14.205333333333334,0.010081613058089293,43537.5,stage1_coarse,34,6.434677200000806
1.1,0.75,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,3937,179,4116,27,15,42,23565,933,5502,60,20,14.205333333333334,0.01020408163265306,43537.5,stage1_coarse,39,6.8272901000000275
1.4,0.25,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,4000,158,4158,27,15,42,23628,770,5602,60,20,14.205333333333334,0.010101010101010102,43537.5,stage1_coarse,54,7.015182700000878
1.4,0.5,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,3981,158,4139,27,15,42,23609,769,5622,60,20,14.205333333333334,0.010147378593863252,43537.5,stage1_coarse,59,6.89244730000064
1.4,0.75,40,1,0.25,"-2,-1,0",43645.0,14548.333333333334,0.05093949095156632,270.0,3926,157,4083,27,15,42,23554,725,5721,60,20,14.205333333333334,0.010286554004408524,43537.5,stage1_coarse,64,6.847202700000707
1.4,1.0,20,1,0.25,"-2,-1,0",42390.0,14130.0,0.04977150991414649,270.0,3377,62,3439,25,13,38,23083,467,6450,60,20,13.818,0.011049723756906077,42282.5,stage1_coarse,67,5.98102260000087
0.8,1.25,10,1,0.25,"-2,-1,0",41640.0,13880.0,0.04859717299278926,270.0,2838,43,2881,20,8,28,22535,714,6751,60,20,13.670666666666667,0.00971884762235335,41532.5,stage1_coarse,21,5.717866500001037
